Team,F1P5Points,TeamColor,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,RP11,RP12,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12
Williams,578.0,64C4FF,9,6,1,7,2,5,4,3,2,1,0,0,1,3,0,2,1,0,1,0,2,1,0,0
Racing Bulls,513.0,6692FF,4,5,8,3,6,2,3,4,3,3,0,1,1,0,2,3,0,3,2,0,1,0,0,0
Haas F1 Team,488.0,B6BABD,3,6,5,2,6,7,7,2,2,4,0,0,1,0,1,0,1,3,1,3,1,0,0,0
Aston Martin,432.0,229971,4,3,3,7,4,2,3,3,7,3,1,1,3,1,2,0,0,0,1,1,0,0,1,0
Kick Sauber,370.0,52E252,3,3,6,3,3,4,1,4,3,4,4,1,0,0,1,0,3,0,1,1,2,2,2,0
Alpine,244.0,0093CC,1,1,1,2,3,4,6,7,4,4,6,3,0,2,0,1,1,0,0,1,0,2,1,2
