Team,F1P5Points,TeamColor,Race_P1,Race_P2,Race_P3,Race_P4,Race_P5,Race_P6,Race_P7,Race_P8,Race_P9,Race_P10,Race_P11,Race_P12,Sprint_P1,Sprint_P2,Sprint_P3,Sprint_P4,Sprint_P5,Sprint_P6,Sprint_P7,Sprint_P8,Sprint_P9,Sprint_P10,Sprint_P11,Sprint_P12,Sprint_P13,Sprint_P14
RB F1 Team,450.0,,4,10,3,2,2,1,4,0,0,0,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0
Alpine F1 Team,420.0,,6,1,5,4,5,0,2,3,1,0,0,0,2,2,1,3,0,0,1,0,0,0,0,0,1,0
Audi,289.0,,2,1,4,3,4,6,2,1,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0
Haas F1 Team,220.0,,2,0,1,2,3,3,3,3,5,1,0,1,0,1,2,1,0,3,1,1,0,0,1,0,0,0
Williams,133.0,,0,1,1,3,0,2,2,2,4,4,2,1,0,0,1,0,2,0,0,2,1,2,0,2,0,0
Aston Martin,52.0,,0,1,0,0,0,2,1,1,1,4,1,2,0,0,0,0,0,0,1,0,4,2,0,1,1,0
Cadillac F1 Team,29.0,,0,0,0,0,0,0,0,4,3,4,5,1,0,0,0,0,0,0,1,1,0,1,4,0,1,1
