Team,F1P5Points,TeamColor,Race_P1,Race_P2,Race_P3,Race_P4,Race_P5,Race_P6,Race_P7,Race_P8,Race_P9,Race_P10,Race_P11,Race_P12,Sprint_P1,Sprint_P2,Sprint_P3,Sprint_P4,Sprint_P5,Sprint_P6,Sprint_P7,Sprint_P8,Sprint_P9,Sprint_P10,Sprint_P11,Sprint_P12
Williams,578.0,64C4FF,9,6,1,7,2,5,4,3,2,1,0,0,1,3,0,2,1,0,1,0,2,1,0,0
Racing Bulls,513.0,6692FF,4,5,8,3,6,2,3,4,3,3,0,1,1,0,2,3,0,3,2,0,1,0,0,0
Haas F1 Team,488.0,B6BABD,3,6,5,2,6,7,7,2,2,4,0,0,1,0,1,0,1,3,1,3,1,0,0,0
Aston Martin,432.0,229971,4,3,3,7,4,2,3,3,7,3,1,1,3,1,2,0,0,0,1,1,0,0,1,0
Kick Sauber,370.0,52E252,3,3,6,3,3,4,1,4,3,4,4,1,0,0,1,0,3,0,1,1,2,2,2,0
Alpine,244.0,0093CC,1,1,1,2,3,4,6,7,4,4,6,3,0,2,0,1,1,0,0,1,0,2,1,2
